LECROYWS452,17453,Waveform
Segments,1,SegmentSize,4998
Segment,TrigTime,TimeSinceSegment1
#1,17-Dec-2014 16:14:11,0                 
Time,Ampl
2.587939e-006,1.51375
2.588939e-006,1.49812
2.589939e-006,1.52937
2.590939e-006,1.49812
2.591939e-006,1.56062
2.592939e-006,1.4825
2.593939e-006,1.51375
2.594939e-006,1.51375
2.595939e-006,1.51375
2.596939e-006,1.51375
2.597939e-006,1.545
2.598939e-006,1.52937
2.599939e-006,1.51375
2.600939e-006,1.545
2.601939e-006,1.51375
2.602939e-006,1.49812
2.603939e-006,1.545
2.604939e-006,1.51375
2.605939e-006,1.51375
2.606939e-006,1.52937
2.607939e-006,1.51375
2.608939e-006,1.51375
2.609939e-006,1.52937
2.610939e-006,1.49812
2.611939e-006,1.4825
2.612939e-006,1.56062
2.613939e-006,1.49812
2.614939e-006,1.51375
2.615939e-006,1.51375
2.616939e-006,1.545
2.617939e-006,1.51375
2.618939e-006,1.49812
2.619939e-006,1.545
2.620939e-006,1.4825
2.621939e-006,1.56062
2.622939e-006,1.4825
2.623939e-006,1.49812
2.624939e-006,1.52937
2.625939e-006,1.45125
2.626939e-006,1.49812
2.627939e-006,1.4825
2.628939e-006,1.51375
2.629939e-006,1.4825
2.630939e-006,1.4825
2.631939e-006,1.51375
2.632939e-006,1.51375
2.633939e-006,1.51375
2.634939e-006,1.51375
2.635939e-006,1.4825
2.636939e-006,1.51375
2.637939e-006,1.49812
2.638939e-006,1.51375
2.639939e-006,1.4825
2.640939e-006,1.49812
2.641939e-006,1.545
2.642939e-006,1.51375
2.643939e-006,1.4825
2.644939e-006,1.4825
2.645939e-006,1.52937
2.646939e-006,1.49812
2.647939e-006,1.49812
2.648939e-006,1.46687
2.649939e-006,1.49812
2.650939e-006,1.51375
2.651939e-006,1.4825
2.652939e-006,1.52937
2.653939e-006,1.4825
2.654939e-006,1.51375
2.655939e-006,1.49812
2.656939e-006,1.51375
2.657939e-006,1.51375
2.658939e-006,1.49812
2.659939e-006,1.49812
2.660939e-006,1.49812
2.661939e-006,1.49812
2.662939e-006,1.4825
2.663939e-006,1.49812
2.664939e-006,1.4825
2.665939e-006,1.49812
2.666939e-006,1.46687
2.667939e-006,1.46687
2.668939e-006,1.51375
2.669939e-006,1.52937
2.670939e-006,1.49812
2.671939e-006,1.51375
2.672939e-006,1.4825
2.673939e-006,1.45125
2.674939e-006,1.52937
2.675939e-006,1.45125
2.676939e-006,1.51375
2.677939e-006,1.4825
2.678939e-006,1.4825
2.679939e-006,1.4825
2.680939e-006,1.4825
2.681939e-006,1.46687
2.682939e-006,1.4825
2.683939e-006,1.49812
2.684939e-006,1.49812
2.685939e-006,1.4825
2.686939e-006,1.51375
2.687939e-006,1.51375
2.688939e-006,1.51375
2.689939e-006,1.49812
2.690939e-006,1.4825
2.691939e-006,1.49812
2.692939e-006,1.45125
2.693939e-006,1.52937
2.694939e-006,1.51375
2.695939e-006,1.4825
2.696939e-006,1.49812
2.697939e-006,1.4825
2.698939e-006,1.46687
2.699939e-006,1.49812
2.700939e-006,1.49812
2.701939e-006,1.46687
2.702939e-006,1.49812
2.703939e-006,1.46687
2.704939e-006,1.4825
2.705939e-006,1.51375
2.706939e-006,1.4825
2.707939e-006,1.46687
2.708939e-006,1.49812
2.709939e-006,1.45125
2.710939e-006,1.49812
2.711939e-006,1.49812
2.712939e-006,1.51375
2.713939e-006,1.51375
2.714939e-006,1.4825
2.715939e-006,1.49812
2.716939e-006,1.52937
2.717939e-006,1.49812
2.718939e-006,1.4825
2.719939e-006,1.545
2.720939e-006,1.545
2.721939e-006,1.4825
2.722939e-006,1.4825
2.723939e-006,1.56062
2.724939e-006,1.4825
2.725939e-006,1.545
2.726939e-006,1.45125
2.727939e-006,1.545
2.728939e-006,1.51375
2.729939e-006,1.51375
2.730939e-006,1.52937
2.731939e-006,1.49812
2.732939e-006,1.52937
2.733939e-006,1.4825
2.734939e-006,1.51375
2.735939e-006,1.49812
2.736939e-006,1.51375
2.737939e-006,1.51375
2.738939e-006,1.52937
2.739939e-006,1.46687
2.740939e-006,1.49812
2.741939e-006,1.51375
2.742939e-006,1.51375
2.743939e-006,1.545
2.744939e-006,1.51375
2.745939e-006,1.51375
2.746939e-006,1.52937
2.747939e-006,1.52937
2.748939e-006,1.4825
2.749939e-006,1.545
2.750939e-006,1.52937
2.751939e-006,1.51375
2.752939e-006,1.52937
2.753939e-006,1.52937
2.754939e-006,1.49812
2.755939e-006,1.51375
2.756939e-006,1.49812
2.757939e-006,1.49812
2.758939e-006,1.52937
2.759939e-006,1.49812
2.760939e-006,1.56062
2.761939e-006,1.51375
2.762939e-006,1.56062
2.763939e-006,1.52937
2.764939e-006,1.49812
2.765939e-006,1.52937
2.766939e-006,1.52937
2.767939e-006,1.51375
2.768939e-006,1.4825
2.769939e-006,1.545
2.770939e-006,1.52937
2.771939e-006,1.49812
2.772939e-006,1.49812
2.773939e-006,1.49812
2.774939e-006,1.545
2.775939e-006,1.51375
2.776939e-006,1.545
2.777939e-006,1.51375
2.778939e-006,1.49812
2.779939e-006,1.51375
2.780939e-006,1.51375
2.781939e-006,1.545
2.782939e-006,1.52937
2.783939e-006,1.51375
2.784939e-006,1.52937
2.785939e-006,1.545
2.786939e-006,1.52937
2.787939e-006,1.51375
2.788939e-006,1.56062
2.789939e-006,1.49812
2.790939e-006,1.51375
2.791939e-006,1.545
2.792939e-006,1.49812
2.793939e-006,1.545
2.794939e-006,1.51375
2.795939e-006,1.51375
